0 << Starting the Simulation >> 
At time 0 ns, CLK=0, RST=1, D_IN=1, MATCH=x 
At time 8 ns, CLK=1, RST=0, D_IN=1, MATCH=0 
At time 8 ns, CLK=1, RST=0, D_IN=1, MATCH=0 
At time 9 ns, CLK=0, RST=0, D_IN=0, MATCH=0 
At time 12 ns, CLK=1, RST=0, D_IN=1, MATCH=0 
At time 15 ns, CLK=0, RST=0, D_IN=0, MATCH=0 
At time 17 ns, CLK=0, RST=0, D_IN=1, MATCH=0 
At time 19 ns, CLK=0, RST=0, D_IN=0, MATCH=0 
At time 21 ns, CLK=0, RST=0, D_IN=1, MATCH=0 
At time 23 ns, CLK=0, RST=0, D_IN=0, MATCH=0 
At time 25 ns, CLK=0, RST=0, D_IN=1, MATCH=0 
At time 26 ns, CLK=1, RST=0, D_IN=0, MATCH=0 
At time 27 ns, CLK=0, RST=0, D_IN=1, MATCH=0 
At time 28 ns, CLK=1, RST=0, D_IN=0, MATCH=1 
At time 31 ns, CLK=0, RST=0, D_IN=1, MATCH=0 
At time 33 ns, CLK=0, RST=0, D_IN=0, MATCH=0 
At time 35 ns, CLK=0, RST=0, D_IN=1, MATCH=0 
At time 37 ns, CLK=0, RST=0, D_IN=0, MATCH=0 
At time 39 ns, CLK=0, RST=0, D_IN=1, MATCH=0 
At time 40 ns, CLK=1, RST=0, D_IN=1, MATCH=0 
45 << Ending the Simulation >> 
